"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.arnaudroger.re2j.JavaRegex.testCombine","thrpt",1,200,17183.582030,87.920496,"ops/s"
"com.github.arnaudroger.re2j.JavaRegex.testExp1","thrpt",1,200,64524.384430,387.518838,"ops/s"
"com.github.arnaudroger.re2j.JavaRegex.testExp2","thrpt",1,200,28088.933634,111.422609,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testCombine","thrpt",1,200,2973.765993,32.765061,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testExp1","thrpt",1,200,7970.696481,99.063827,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testExp2","thrpt",1,200,5315.116811,71.775984,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testCombine","thrpt",1,200,3013.991048,38.523959,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testExp1","thrpt",1,200,7905.090328,156.825173,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testExp2","thrpt",1,200,5317.155833,73.568411,"ops/s"
